target,feature_set,auc_roc,precision,recall,f1,avg_precision,positive_rate
Drawdown >3% in 10 days,Spectral,0.5252509297683836,0.20689655172413793,0.2097902097902098,0.20833333333333334,0.24969013175347124,0.17621493480837613
Drawdown >3% in 10 days,Traditional,0.5396573932870404,0.21379310344827587,0.22627737226277372,0.2198581560283688,0.22384106971865156,0.17621493480837613
Drawdown >3% in 10 days,Combined,0.5340388564207865,0.18253968253968253,0.16083916083916083,0.17100371747211895,0.2634545484671901,0.17621493480837613
Drawdown >5% in 10 days,Spectral,0.6622955192034138,0.09210526315789473,0.18421052631578946,0.12280701754385964,0.10550627085428199,0.07467404188067957
Drawdown >5% in 10 days,Traditional,0.5453595317725752,0.0,0.0,0.0,0.05339882385900456,0.07467404188067957
Drawdown >5% in 10 days,Combined,0.6262891180654339,0.08928571428571429,0.13157894736842105,0.10638297872340426,0.08791119865535307,0.07467404188067957
Drawdown >5% in 20 days,Spectral,0.5708811554687644,0.08571428571428572,0.08737864077669903,0.08653846153846154,0.16904646630727904,0.14737258000790202
Drawdown >5% in 20 days,Traditional,0.45610500737294646,0.12605042016806722,0.16853932584269662,0.14423076923076922,0.13325801521044547,0.14737258000790202
Drawdown >5% in 20 days,Combined,0.5495477238812844,0.0821917808219178,0.05825242718446602,0.06818181818181818,0.1615877008223013,0.14737258000790202
Drawdown >7% in 20 days,Spectral,0.60288862418106,0.20588235294117646,0.30434782608695654,0.24561403508771928,0.28038000187044365,0.08060055314105097
Drawdown >7% in 20 days,Traditional,0.3992675965318542,0.0,0.0,0.0,0.03875959908923659,0.08060055314105097
Drawdown >7% in 20 days,Combined,0.5795674508636093,0.32432432432432434,0.2608695652173913,0.2891566265060241,0.23462057499783723,0.08060055314105097
Volatility doubles in 10 days,Spectral,0.6197716449595502,0.6666666666666666,0.06896551724137931,0.125,0.16151157631375013,0.039905175819834056
Volatility doubles in 10 days,Traditional,0.8687934944092579,0.08333333333333333,0.047619047619047616,0.06060606060606061,0.12649041742672143,0.039905175819834056
Volatility doubles in 10 days,Combined,0.6626886224109244,1.0,0.06896551724137931,0.12903225806451613,0.24800815953161373,0.039905175819834056
Extreme volatility in 10 days,Spectral,0.42692461336529136,0.0410958904109589,0.030303030303030304,0.03488372093023256,0.1271122408806262,0.12959304622678783
Extreme volatility in 10 days,Traditional,0.6465181455443663,0.25263157894736843,0.3157894736842105,0.2807017543859649,0.21379940830531247,0.12959304622678783
Extreme volatility in 10 days,Combined,0.7103045521124618,0.6222222222222222,0.2828282828282828,0.3888888888888889,0.39182424700612095,0.12959304622678783
Down >3% in 5 days,Spectral,0.5854237288135593,0.09210526315789473,0.175,0.1206896551724138,0.09355929572532176,0.06598182536546819
Down >3% in 5 days,Traditional,0.5946610169491525,0.06451612903225806,0.1,0.0784313725490196,0.07562169385898103,0.06598182536546819
Down >3% in 5 days,Combined,0.6250847457627119,0.10344827586206896,0.075,0.08695652173913043,0.11578752385944124,0.06598182536546819
Down >5% in 10 days,Spectral,0.6893789301404082,0.09433962264150944,0.2631578947368421,0.1388888888888889,0.08371088927651255,0.044251284077439744
Down >5% in 10 days,Traditional,0.5294308943089431,0.0,0.0,0.0,0.025840214923696522,0.044251284077439744
Down >5% in 10 days,Combined,0.6766302007063485,0.08108108108108109,0.15789473684210525,0.10714285714285714,0.058934519068673474,0.044251284077439744
