Task,Model,N_Features,Role,AUC_ROC,Avg_Precision,Precision,Recall,F1
Up >3% in 10 days,CGECD Combined (Ours),206,ours,0.7468852124183009,0.3276299321666064,0.3185328185328185,0.859375,0.46478873239436624
Up >3% in 10 days,Spectral Only RF,179,ablation,0.5674211090686275,0.2058408626169189,0.23979591836734693,0.734375,0.36153846153846153
Up >3% in 10 days,Traditional RF,27,bench,0.697684399986155,0.2910265117597715,0.3027027027027027,0.6473988439306358,0.4125230202578269
Up >3% in 10 days,Turbulence RF,5,bench,0.6433939349103306,0.3121445399711019,0.29107981220657275,0.6169154228855721,0.39553429027113235
Up >3% in 10 days,HAR-RV LR,4,bench,0.6473789881993006,0.30573385285971155,0.2678983833718245,0.6590909090909091,0.38095238095238093
Up >3% in 10 days,SMA Vol LR,9,bench,0.6286024257260487,0.28309880241588253,0.2613981762917933,0.5,0.343313373253493
Drawdown >7% in 10 days,CGECD Combined (Ours),206,ours,0.7371840122102452,0.09568231753157663,0.13043478260869565,0.5454545454545454,0.21052631578947367
Drawdown >7% in 10 days,Spectral Only RF,179,ablation,0.6821904920028778,0.08413771565967906,0.10098522167487685,0.7192982456140351,0.17710583153347734
Drawdown >7% in 10 days,Traditional RF,27,bench,0.6196964169587768,0.08506957163628245,0.09605488850771869,0.835820895522388,0.1723076923076923
Drawdown >7% in 10 days,Turbulence RF,5,bench,0.6104781997187061,0.07832066723001763,0.10752688172043011,0.6666666666666666,0.18518518518518517
Drawdown >7% in 10 days,HAR-RV LR,4,bench,0.7733770051230369,0.29608175643335166,0.3918918918918919,0.4603174603174603,0.4233576642335766
Drawdown >7% in 10 days,SMA Vol LR,9,bench,0.6766896120150189,0.21125081725766703,0.3902439024390244,0.23529411764705882,0.29357798165137616
